"","Year","Income Quintile","value","indicator"
"1","2005","Poorest",49.9095921227695,"No OOP spending"
"2","2005","2nd",37.3746514622497,"No OOP spending"
"3","2005","3rd",33.0520625444948,"No OOP spending"
"4","2005","4th",28.1418290820384,"No OOP spending"
"5","2005","Richest",24.4103990926182,"No OOP spending"
"6","2006","Poorest",49.1758463196928,"No OOP spending"
"7","2006","2nd",36.4173576493718,"No OOP spending"
"8","2006","3rd",33.5785972076184,"No OOP spending"
"9","2006","4th",28.8059513710896,"No OOP spending"
"10","2006","Richest",26.5582906239437,"No OOP spending"
"11","2007","Poorest",58.2977155032696,"No OOP spending"
"12","2007","2nd",35.2348460306808,"No OOP spending"
"13","2007","3rd",36.7307973283739,"No OOP spending"
"14","2007","4th",30.413807981043,"No OOP spending"
"15","2007","Richest",27.8587676901973,"No OOP spending"
"16","2008","Poorest",57.0604726882247,"No OOP spending"
"17","2008","2nd",41.2322168896518,"No OOP spending"
"18","2008","3rd",38.0762999303905,"No OOP spending"
"19","2008","4th",33.1984917181796,"No OOP spending"
"20","2008","Richest",27.1712760528618,"No OOP spending"
"21","2009","Poorest",65.6281160990308,"No OOP spending"
"22","2009","2nd",48.4650357474871,"No OOP spending"
"23","2009","3rd",38.4091687609049,"No OOP spending"
"24","2009","4th",32.2861373411722,"No OOP spending"
"25","2009","Richest",28.1708578046844,"No OOP spending"
"26","2010","Poorest",69.1475296984372,"No OOP spending"
"27","2010","2nd",51.6799894866195,"No OOP spending"
"28","2010","3rd",40.9615204188699,"No OOP spending"
"29","2010","4th",34.3711921673827,"No OOP spending"
"30","2010","Richest",25.6146156596265,"No OOP spending"
"31","2011","Poorest",61.9023522340295,"No OOP spending"
"32","2011","2nd",43.2312675422699,"No OOP spending"
"33","2011","3rd",33.4875095433319,"No OOP spending"
"34","2011","4th",28.6428049873442,"No OOP spending"
"35","2011","Richest",23.9184013481297,"No OOP spending"
"36","2012","Poorest",63.4287796417505,"No OOP spending"
"37","2012","2nd",43.6903184090925,"No OOP spending"
"38","2012","3rd",30.6808196780492,"No OOP spending"
"39","2012","4th",26.6887862149915,"No OOP spending"
"40","2012","Richest",21.3908931847597,"No OOP spending"
"41","2013","Poorest",57.0875335791463,"No OOP spending"
"42","2013","2nd",36.6448163875115,"No OOP spending"
"43","2013","3rd",29.1621467906747,"No OOP spending"
"44","2013","4th",23.4971841753492,"No OOP spending"
"45","2013","Richest",19.4312617909488,"No OOP spending"
"46","2014","Poorest",56.2059024523232,"No OOP spending"
"47","2014","2nd",35.284642450445,"No OOP spending"
"48","2014","3rd",27.8462633558055,"No OOP spending"
"49","2014","4th",24.5469029574332,"No OOP spending"
"50","2014","Richest",17.1033148268734,"No OOP spending"
"51","2015","Poorest",54.194750833557,"No OOP spending"
"52","2015","2nd",36.5796097790644,"No OOP spending"
"53","2015","3rd",23.7793474104961,"No OOP spending"
"54","2015","4th",21.764473762719,"No OOP spending"
"55","2015","Richest",14.4977090138526,"No OOP spending"
"56","2016","Poorest",49.591332788142,"No OOP spending"
"57","2016","2nd",31.7476741118129,"No OOP spending"
"58","2016","3rd",20.7769413253364,"No OOP spending"
"59","2016","4th",21.2294466096538,"No OOP spending"
"60","2016","Richest",21.1345938813091,"No OOP spending"
