"","Year","Income Quintile","Medicines","MedicalProducts","OutpatientCare","Dental","DiagnosticTests","InpatientCare"
"1","2005","Poorest",0.879492536864732,0.00864310730981406,0.0297924151096547,0.0180377891683076,0.00894373712928585,0.0550904144182061
"2","2005","2nd",0.813836997850884,0.0355926599437924,0.045065300049595,0.0607703752686394,0.0100099189948752,0.0347247478922136
"3","2005","3rd",0.823218979063945,0.0336405434081594,0.0349096053425427,0.0528359720112898,0.0184048654308916,0.036990034743171
"4","2005","4th",0.791758016296383,0.0357054927017996,0.0421068057916642,0.0799402075150947,0.022392871797878,0.0280966058971804
"5","2005","Richest",0.717599515229721,0.057980617907728,0.0458526420416153,0.125015802987964,0.0273816737652962,0.026169748067676
"6","2005","Total",0.78633701661234,0.0398026473140764,0.0412322242495063,0.0799319379241067,0.0199006403028626,0.032795533597108
"7","2010","Poorest",0.913967624171724,0.014923562489877,0.0158523051321687,0.0246042122253588,0.00796820755051545,0.0226840884303558
"8","2010","2nd",0.913570568473741,0.0125939683731719,0.021312981326419,0.0236714973011228,0.0175515861728705,0.0112993983526749
"9","2010","3rd",0.860960612459987,0.0298961840502357,0.0290064831218021,0.0422689849131577,0.0155245817624607,0.0223431536923564
"10","2010","4th",0.830868669313128,0.0221036188345408,0.0298326698995014,0.0707455170229508,0.0195847761475343,0.0268647487823446
"11","2010","Richest",0.750428679623337,0.0248891221114406,0.0466022541797803,0.0925654638476382,0.0233723925585643,0.0621420876792391
"12","2010","Total",0.829124801071717,0.022455363720623,0.032769745982934,0.061700808978516,0.0187165314818022,0.0352327487644079
"13","2015","Poorest",0.886507674676884,0.0241393321074976,0.0249159193405178,0.0214611635186115,0.00547792189806471,0.0374979884584247
"14","2015","2nd",0.865512098754818,0.0204208357706163,0.0234328489704964,0.0519083753623869,0.0155138605730612,0.0232119805686209
"15","2015","3rd",0.792661995122267,0.0265741146808843,0.0366621580347787,0.0432512645251808,0.0289525004758561,0.0718979671610328
"16","2015","4th",0.727939716187238,0.0464691644992655,0.0384570391380595,0.064496850200485,0.0249896608127805,0.0976475691621712
"17","2015","Richest",0.624436930624103,0.0649086113637538,0.0734422523995581,0.120420537951309,0.0251627516991391,0.0916289159621372
"18","2015","Total",0.74877873457465,0.041476229537642,0.0446217304074117,0.0705893385860936,0.0222487268347963,0.072285240059406
"19","2016","Poorest",0.898310310150893,0.0218441158755534,0.0160006303008989,0.0203344622472049,0.0080577645181351,0.0354527163651025
"20","2016","2nd",0.884539750978045,0.0199172792915164,0.0264248174458378,0.021782723774436,0.0166932449130301,0.0306421847927783
"21","2016","3rd",0.837788789464943,0.0264957216621397,0.0327677362706759,0.0297513204010906,0.0289557274661232,0.0442407041633757
"22","2016","4th",0.795510239093467,0.0732871297358061,0.0342061414610137,0.0427065220422851,0.0229754421479971,0.0313145251233343
"23","2016","Richest",0.561018276245772,0.0876865481453649,0.0841742411264096,0.0812418470096125,0.035786051841865,0.150093039445842
"24","2016","Total",0.758108821747378,0.0537291921184899,0.0459790359896956,0.0459899409784071,0.02545279159852,0.0707402186780177
"25","2017","Poorest",0.91540704226341,0.0141369529381612,0.0184540697022049,0.0186380995005601,0.00822559453760274,0.0251382415899628
"26","2017","2nd",0.883857403041328,0.0251540651029061,0.020839439831806,0.0326033771338344,0.0141569009624177,0.0233888150792613
"27","2017","3rd",0.843346611476166,0.045474609194388,0.0280400365487006,0.0310410818144887,0.0202054789936375,0.0318921819377514
"28","2017","4th",0.774763563971612,0.0330177579514023,0.0409454993165085,0.0613561028440953,0.0329967703200076,0.0569203054343179
"29","2017","Richest",0.535363798710341,0.0638850482640762,0.0559247058928192,0.104173438603056,0.0513772504462335,0.189275755364445
"30","2017","Total",0.739723497586051,0.0423498232115321,0.037778004118784,0.0607702477414105,0.0309599929097865,0.0884184337169845
"31","2018","Poorest",0.900439263348511,0.0147502517997845,0.013128860348538,0.015821245942456,0.0206700019550593,0.0351903757823961
"32","2018","2nd",0.881427998824505,0.0269899661036178,0.021917689074922,0.0298990909336555,0.00962202290220666,0.0301432319279849
"33","2018","3rd",0.813686024082213,0.0483187043870457,0.023833748622714,0.0493711456303763,0.01525669747322,0.0495336804677167
"34","2018","4th",0.772303085595068,0.0774281616668503,0.0230949602079997,0.0555674135111153,0.0207419190087488,0.0508644583672064
"35","2018","Richest",0.570861010129956,0.182704663536868,0.0447474899010138,0.0877322862046069,0.0430410257000418,0.0709135237115963
"36","2018","Total",0.758938872081038,0.0843873574639751,0.0279067612971323,0.0539854255083428,0.0239686546255184,0.0508129284621001
